city,province,region_std,city_job_count,GDI_c,Exposure_c,SRI_c,entropy_c,GDI_group,Exposure_group,SRI_group,city_type
昌吉,新疆,西部,161,0.0000000000,8.5802793942,-0.2039317000,3.5050458728,low,middle,high,低 GDI × 高 Exposure
昌江,海南,东部,41,0.0000000000,6.8964767648,-2.3173396491,2.4515836971,low,low,low,低 GDI × 低 Exposure
昌都,西藏,西部,9,0.0000000000,7.5667675691,-0.2829217020,2.1972245773,low,low,high,低 GDI × 低 Exposure
昭通,云南,西部,253,0.0000000000,8.4047952411,-1.2983226576,3.4455241609,low,middle,low,低 GDI × 高 Exposure
晋中,山西,中部,225,0.0000000000,7.9089365886,-2.6276885637,3.1800534872,low,low,low,低 GDI × 低 Exposure
晋城,山西,中部,183,0.0000000000,7.7979028863,-2.9557995396,3.1293328069,low,low,low,低 GDI × 低 Exposure
普洱,云南,西部,191,0.0052356021,9.0236462059,0.0744003203,3.4722848311,high,high,high,高 GDI × 高 Exposure
景德镇,江西,中部,381,0.0000000000,8.5208178962,-1.5523425381,3.6237410209,low,middle,low,低 GDI × 高 Exposure
曲靖,云南,西部,870,0.0000000000,8.5864965097,-0.7986649534,3.7480162762,low,middle,middle,低 GDI × 高 Exposure
朔州,山西,中部,131,0.0000000000,8.2781242561,-3.9372413497,2.9776845960,low,middle,low,低 GDI × 低 Exposure
朝阳,辽宁,东北,181,0.0165745856,8.4819991153,-0.6724180518,3.4127880441,high,middle,middle,高 GDI × 高 Exposure
本溪,辽宁,东北,130,0.0000000000,7.4960937509,-0.5149828674,3.2331208498,low,low,middle,低 GDI × 低 Exposure
来宾,广西,西部,129,0.0000000000,8.3159555347,-1.3094507218,3.4285847536,low,middle,low,低 GDI × 低 Exposure
杨凌,陕西,西部,82,0.0121951220,7.7520528340,-0.7537668666,3.5322157955,high,low,middle,高 GDI × 低 Exposure
杭州,浙江,东部,30790,0.0135758363,9.2296793627,0.5770330092,4.0671292126,high,high,high,高 GDI × 高 Exposure
松原,吉林,东北,71,0.0000000000,8.2142181815,-0.7264178998,3.2136699720,low,middle,middle,低 GDI × 低 Exposure
林芝,西藏,西部,83,0.0240963855,9.4478780853,0.8570141471,3.2661450722,high,high,high,高 GDI × 高 Exposure
果洛,青海,西部,2,0.0000000000,8.3392976780,0.9962566442,1.0986122887,low,middle,high,低 GDI × 低 Exposure
枣庄,山东,东部,282,0.0000000000,8.4362622265,-1.0093946928,3.6226794176,low,middle,low,低 GDI × 高 Exposure
柳州,广西,西部,1390,0.0035971223,8.6297856853,-0.3791073733,3.7988949507,middle,high,high,高 GDI × 高 Exposure
株洲,湖南,中部,1218,0.0000000000,8.2554483984,-0.9738772758,3.7655102176,low,middle,middle,低 GDI × 低 Exposure
桂林,广西,西部,1038,0.0105973025,9.4322155762,0.6558865319,3.9862909346,high,high,high,高 GDI × 高 Exposure
梅州,广东,东部,456,0.0021929825,8.4383422842,-0.4156606929,3.6808162718,middle,middle,middle,高 GDI × 高 Exposure
梧州,广西,西部,287,0.0034843206,8.6445282659,-1.0800850413,3.5809642417,middle,high,low,高 GDI × 高 Exposure
楚雄,云南,西部,340,0.0058823529,8.5575481043,-0.8330698006,3.5777714744,high,middle,middle,高 GDI × 高 Exposure
榆林,陕西,西部,449,0.0044543430,8.0806419435,-2.2346480772,3.4155615357,high,low,low,高 GDI × 低 Exposure
武威,甘肃,西部,114,0.0087719298,8.1387625416,-1.5780787977,3.1750717812,high,low,low,高 GDI × 低 Exposure
武汉,湖北,中部,51755,0.0093903971,8.9672197130,0.0654324876,4.0200397545,high,high,high,高 GDI × 高 Exposure
毕节,贵州,西部,302,0.0033112583,8.0247686838,-2.7876671371,3.3813168927,middle,low,low,高 GDI × 低 Exposure
永州,湖南,中部,314,0.0000000000,8.7556699632,-0.8825675110,3.6197903268,low,high,middle,低 GDI × 高 Exposure
汉中,陕西,西部,216,0.0000000000,7.8353785926,-2.8211337330,3.0877097672,low,low,low,低 GDI × 低 Exposure
汕头,广东,东部,1462,0.0020519836,8.7512987271,-0.2020024765,3.7609747888,middle,high,high,高 GDI × 高 Exposure
汕尾,广东,东部,607,0.0016474465,8.4555102790,-0.7411375655,3.8183114399,middle,middle,middle,高 GDI × 高 Exposure
江苏省,江苏,未知,707,0.0028288543,9.2341040147,0.6936057473,3.5742797149,middle,high,high,高 GDI × 高 Exposure
江西省,江西,未知,240,0.0000000000,9.2337141674,0.8306700944,3.3742719364,low,high,high,低 GDI × 高 Exposure
