city,province,city_job_count,small_sample_penalty_weight,small_sample_penalty_flag,GDI_c,GDI_rank_raw,GDI_rank_penalty,SRI_c,SRI_rank_raw,SRI_rank_penalty,entropy_c,entropy_rank_raw,entropy_rank_penalty,GDI_rank_change,SRI_rank_change,entropy_rank_change
朝阳,辽宁,181,0.42544094772365293,1,0.0165745856,5.0,32.0,-0.6651723119,155.0,134.0,3.4127880441,203.0,231.0,27.0,-21.0,28.0
本溪,辽宁,130,0.36055512754639896,1,0.0,165.0,165.0,-0.4962917747,119.0,95.0,3.2331208498,247.0,259.0,0.0,-24.0,12.0
来宾,广西,129,0.35916569992135944,1,0.0,165.0,165.0,-1.295351104,251.0,185.0,3.4285847536,199.0,251.0,0.0,-66.0,52.0
杭州,浙江,31458,1.0,0,0.0133193464,14.0,7.0,0.5918837708,6.0,3.0,4.0650665214,5.0,5.0,-7.0,-3.0,0.0
松原,吉林,71,0.2664582518894845,1,0.0,165.0,165.0,-0.7112012345,166.0,100.0,3.213669972,251.0,299.0,0.0,-66.0,48.0
林芝,西藏,83,0.28809720581775866,1,0.0240963855,3.0,33.0,0.8727481827,3.0,15.0,3.2661450722,239.0,292.0,30.0,12.0,53.0
果洛,青海,2,0.044721359549995794,1,0.0,165.0,165.0,1.0193093938,2.0,28.0,1.0986122887,342.0,342.0,0.0,26.0,0.0
枣庄,山东,282,0.5310367218940701,1,0.0,165.0,165.0,-0.9924726719,216.0,204.0,3.6226794176,138.0,192.0,0.0,-12.0,54.0
柳州,广西,1390,1.0,0,0.0035971223,89.0,68.0,-0.3593427573,94.0,160.0,3.7988949507,76.0,65.0,-21.0,66.0,-11.0
株洲,湖南,1218,1.0,0,0.0,165.0,165.0,-0.9555584435,208.0,277.0,3.7655102176,91.0,73.0,0.0,69.0,-18.0
桂林,广西,1038,1.0,0,0.0105973025,21.0,15.0,0.6743906234,5.0,2.0,3.9862909346,15.0,15.0,-6.0,-3.0,0.0
梅州,广东,456,0.6752777206453653,1,0.0021929825,130.0,144.0,-0.3965184789,100.0,124.0,3.6808162718,120.0,139.0,14.0,24.0,19.0
