city,province,region_std,city_job_count,small_sample_threshold,small_sample_penalty_weight,small_sample_penalty_flag,GDI_c,GDI_c_penalty_display,Exposure_c,Exposure_c_penalty_display,SRI_c,SRI_c_penalty_display,entropy_c,entropy_c_penalty_display,GDI_rank_raw,GDI_rank_penalty,Exposure_rank_raw,Exposure_rank_penalty,SRI_rank_raw,SRI_rank_penalty,entropy_rank_raw,entropy_rank_penalty
商洛,陕西,西部,122,1000,0.3492849839314596,1,0.0,0.0,7.9611695723,2.7807169861364307,-2.1975466515,-0.7675700468578105,3.150624153,1.1004657066546735,165.0,165.0,283.0,273.0,308.0,250.0,264.0,267.0
喀什地区,新疆,西部,121,1000,0.3478505426185217,1,0.0,0.0,9.3425292057,3.2498038536321316,0.4157649083,0.14462404895389494,3.158922778,1.098833002417308,165.0,165.0,9.0,251.0,11.0,18.0,261.0,268.0
嘉兴,浙江,东部,11604,1000,1.0,0,0.0053429852,0.0053429852,8.2941547055,8.2941547055,-0.5165815654,-0.5165815654,3.9503684766,3.9503684766,62.0,48.0,196.0,66.0,127.0,200.0,23.0,23.0
嘉峪关,甘肃,西部,61,1000,0.2469817807045694,1,0.0,0.0,8.2313044041,2.0329822192459823,-2.0458319278,-0.5052832125503061,2.6051198796,0.6434171468124814,165.0,165.0,214.0,305.0,302.0,194.0,325.0,312.0
四平,吉林,东北,102,1000,0.31937438845342625,1,0.0,0.0,8.968192012,2.864210839365402,-0.3685596259,-0.11770850513043607,3.2975562775,1.0531550195173192,165.0,165.0,48.0,269.0,96.0,81.0,230.0,276.0
固原,宁夏,西部,65,1000,0.25495097567963926,1,0.0,0.0,7.8628990748,2.0046537907907926,-1.5127804571,-0.3856848535267357,2.7556823171,0.702563895407774,165.0,165.0,299.0,306.0,265.0,167.0,318.0,306.0
塔城,新疆,西部,37,1000,0.19235384061671346,1,0.0,0.0,8.7493313647,1.6829674908283159,-0.3418347625,-0.0657532294231771,3.1007011919,0.596431782866786,165.0,165.0,72.0,317.0,91.0,54.0,277.0,316.0
大兴安岭,黑龙江,东北,17,1000,0.130384048104053,1,0.0,0.0,8.8757013018,1.157249865491097,-0.0681389605,-0.008884233503592166,2.3021471895,0.3001632698983784,165.0,165.0,60.0,329.0,42.0,38.0,333.0,330.0
大同,山西,中部,448,1000,0.6693280212272604,1,0.0022321429,0.0014940357903534787,8.455994533,5.659834088281422,-2.1632115098,-1.4478980793504685,3.1436439401,2.1041289778702015,128.0,141.0,142.0,147.0,307.0,315.0,265.0,171.0
大庆,黑龙江,东北,172,1000,0.4147288270665544,1,0.0,0.0,8.5410302564,3.542211460176724,-0.7151190218,-0.29658047312409574,3.2873550467,1.3633609026692093,165.0,165.0,120.0,238.0,168.0,143.0,233.0,243.0
大理,云南,西部,562,1000,0.7496665925596525,1,0.0017793594,0.0013339262983369877,8.998962959,6.746221898044058,-0.4306792175,-0.32286582146948245,3.5791855932,2.6831958677928425,138.0,147.0,40.0,124.0,108.0,148.0,157.0,131.0
大连,辽宁,东北,6238,1000,1.0,0,0.0081756973,0.0081756973,8.6361656335,8.6361656335,-0.7279474262,-0.7279474262,3.9931356401,3.9931356401,40.0,28.0,90.0,40.0,171.0,241.0,14.0,14.0
天水,甘肃,西部,219,1000,0.4679743582719036,1,0.0,0.0,8.2079038858,3.841088553714719,-2.38870977,-1.1178549217135765,2.9255122571,1.3690647211329607,165.0,165.0,221.0,228.0,314.0,293.0,304.0,242.0
天津,天津,东部,7051,1000,1.0,0,0.0102113175,0.0102113175,8.8994983228,8.8994983228,0.1145534576,0.1145534576,3.984058291,3.984058291,23.0,17.0,57.0,27.0,28.0,23.0,16.0,16.0
天门,湖北,中部,278,1000,0.5272570530585627,1,0.0,0.0,8.2736269179,4.362328146837953,-0.7260470162,-0.38281341014357456,3.5436009,1.8683885677496705,165.0,165.0,204.0,204.0,170.0,165.0,168.0,198.0
太原,山西,中部,2317,1000,1.0,0,0.0034527406,0.0034527406,8.7011991222,8.7011991222,-0.3459036343,-0.3459036343,3.6834294631,3.6834294631,94.0,76.0,81.0,37.0,93.0,155.0,119.0,85.0
威海,山东,东部,494,1000,0.7028513356322231,1,0.0101214575,0.007113879922419782,8.6326417255,6.067463766802134,-0.4882351639,-0.3431567370497324,3.8403240061,2.699176856947875,24.0,31.0,91.0,133.0,118.0,154.0,56.0,129.0
娄底,湖南,中部,351,1000,0.5924525297439449,1,0.0,0.0,8.4137018961,4.9847189728558705,-1.073424724,-0.635953193223496,3.5655954104,2.1124460209348794,165.0,165.0,159.0,169.0,235.0,221.0,161.0,170.0
孝感,湖北,中部,1591,1000,1.0,0,0.0050282841,0.0050282841,8.1229679026,8.1229679026,-1.0674269374,-1.0674269374,3.8450170528,3.8450170528,69.0,52.0,247.0,81.0,233.0,290.0,52.0,49.0
